trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
312,False,"{'a': 0.6, 'e': 0.04415716841969286}",20,11,18.329784952922306,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.6, 'e': 0.04371779725275094}",20,7,4.554962315843731,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
314,False,"{'a': 0.6, 'e': 0.043282797901965896}",25,17,13.84755613561299,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.6, 'e': 0.04285212686704019}",25,13,16.57086354005191,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.6, 'e': 0.042425741080511385}",30,15,25.859465687932474,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.6, 'e': 0.04200359790344555}",20,7,25.01135137004221,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.6, 'e': 0.04158565512117316}",25,15,11.4064838343307,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.6, 'e': 0.04117187093906774}",20,10,18.35717248536432,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.6, 'e': 0.04076220397836621}",20,13,13.03524064188629,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.6, 'e': 0.04035661327203115}",25,7,29.754227232784253,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.6, 'e': 0.039955058260653896}",20,10,19.358459280149578,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.6, 'e': 0.039557498788398725}",20,8,25.412593117792426,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.6, 'e': 0.039163895098987066}",20,9,20.16228432419164,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.6, 'e': 0.03877420783172201}",20,15,6.824964132981293,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.6, 'e': 0.038388398017552054}",30,17,20.714875669326013,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.6, 'e': 0.038006427075174314}",20,3,-11.209283882839804,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
328,False,"{'a': 0.6, 'e': 0.0376282568071762}",25,15,11.00150586680849,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.6, 'e': 0.03725384939621581}",20,14,12.140306664174698,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.6, 'e': 0.036883167401239994}",20,13,14.197751028095048,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.6, 'e': 0.0365161737537404}",30,22,16.996453390845012,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.6, 'e': 0.03615283175404641}",20,13,13.029099864331197,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.6, 'e': 0.0357931050676553}",25,18,14.580128807093004,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.6, 'e': 0.03543695772159864}",30,20,18.348979323809957,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.6, 'e': 0.035084354100845025}",30,15,26.922132401995206,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.6, 'e': 0.03473525894473856}",30,21,19.516716122436474,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.6, 'e': 0.03438963734347271}",20,12,13.734070779356749,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.6, 'e': 0.034047454734599344}",20,9,26.108192851349067,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.6, 'e': 0.033708676899572396}",30,14,31.611433366042043,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.6, 'e': 0.03337326996032608}",20,14,12.883931714854324,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.6, 'e': 0.03304120037588693}",25,15,18.831010332996613,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.6, 'e': 0.03271243493901982}",20,16,7.133691195030012,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.6, 'e': 0.03238694077290704}",20,9,14.880425893867113,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.6, 'e': 0.03206468532786077}",20,11,16.684732700415548,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.6, 'e': 0.03174563637806794}",20,15,9.136421285255706,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.6, 'e': 0.03142976201836771}",25,16,15.354370508706126,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.6, 'e': 0.03111703066106086}",25,0,13.742826542929851,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
348,False,"{'a': 0.6, 'e': 0.030807411032751076}",20,8,22.98178798234257,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
